text,label
"I love this product!",1
"This is the worst experience ever.",0
"I feel great after using this.",1
"The service was okay, but the food was amazing!",1
"I will never buy this again.",0
"Absolutely fantastic! Highly recommend.",1
"Not worth the money.",0
"The quality is decent, but I've seen better.",0
"I am very satisfied with my purchase.",1
"This is the best thing I've ever bought!",1
"I had a bad experience with customer service.",0
"Overall, I would say it was fine.",1
"Terrible product. Do not waste your money.",0
"Just okay, nothing special.",0
"I will definitely recommend this to my friends.",1
"Very disappointed. It broke after a week.",0
"Great value for the price!",1
"Could be better. Expected more.",0
"Superb quality! Exceeded my expectations.",1
"Will not be purchasing from here again.",0
"An average experience; neither good nor bad.",0
"Best purchase I've made this year!",1
"Awful. Would not recommend.",0
"Great product, but shipping was late.",1
"Not impressed with the performance.",0
"I love the design and functionality!",1
"Just as expected, very satisfied.",1
"Had to return it due to defects.",0
"Really enjoyed this. Will buy again.",1
"The customer support was helpful, but the product failed.",0
"I won't buy this brand again.",0
"The price is just right for the quality.",1
"Disappointing experience overall.",0
"Good, but I've seen better options.",0
"This is a game changer!",1
"Extremely unsatisfied with the service.",0
"Such a great investment.",1
"I regret this purchase.",0
"Wonderful experience overall.",1
"Would not buy again.",0
"Highly recommend this product!",1
"Poor quality, not what I expected.",0
"Fantastic results!",1
"Service was lacking.",0
"Exceptional quality!",1
"Not what I hoped for.",0
"I will continue to buy this.",1
"Completely let down.",0
"Exceeded all my expectations!",1
"This was a huge disappointment.",0
"Wonderful product, will share with friends.",1
"Not worth the hype.",0
"Such a useful tool!",1
"Delivery was way too slow.",0
"I can't believe how well this works!",1
"Very unsatisfied with the quality.",0
"Thrilled with my purchase!",1
"This was not a good experience.",0
"Absolutely love it!",1
"Terrible quality for the price.",0
"Best thing I've bought all year!",1
"Never again.",0
"I am amazed by how good this is.",1
"Complete waste of money.",0
"Exactly what I was looking for!",1
"Very disappointing product.",0
"Can't recommend it enough!",1
"Just didn't work for me.",0
"This is a must-have!",1
"Regretting this decision.",0
"Wonderful customer support!",1
"Not as described.",0
"Extremely happy with this purchase!",1
"Product did not meet my expectations.",0
"Such a great value!",1
"Wouldn't buy again.",0
"Impressive quality and performance!",1
"Very frustrating experience.",0
"Awesome product!",1
"Really poor quality.",0
"I'm so glad I bought this.",1
"Not worth the money.",0
"Brilliant item!",1
"Very unhappy with my order.",0
"Exactly as advertised!",1
"Disappointing delivery time.",0
"I've been recommending this to everyone!",1
"Didn't work as promised.",0
"Such a pleasure to use!",1
"Highly disappointing.",0
"Great for the price!",1
"Service was terrible.",0
"Will definitely purchase again!",1
"Too complicated to use.",0
"Absolutely satisfied!",1
"Awful experience.",0
"Fantastic purchase!",1
"Not impressed at all.",0
"This product is a lifesaver!",1
"Very low quality.",0
"Can't say enough good things!",1
"Will not purchase again.",0
"Best investment ever!",1
"Such a letdown.",0
"Highly recommend to anyone!",1
"Very misleading product description.",0
"Perfect for my needs!",1
"Awful product, waste of money.",0
"Exceptional value!",1
"Really disappointed.",0
"Wonderful experience with this product!",1
"Not what I expected at all.",0
"I love how easy this is to use!",1
"Very dissatisfied with the service.",0
"This has changed my life!",1
"Completely unsatisfactory.",0
"Great product for anyone!",1
"Will not recommend to others.",0
"Superb functionality!",1
"Totally unhelpful.",0
"Best quality I've seen in a while!",1
"Completely regret this purchase.",0
"Absolutely wonderful!",1
"Very unhappy with this item.",0
"Such a fantastic deal!",1
"Very poor experience overall.",0
"Just perfect for me!",1
"Disappointing quality.",0
"I am so pleased with this purchase!",1
"Too expensive for what you get.",0
